CustomerID,Name,Email,Phone,DeliveryAddress,RegisteredAt
CST-001,Tricia Mohammed,tricia.m@gmail.com,868-762-1234,"14 Circular Rd, Arima",15/01/2026 10:22
CST-002,Kern Charles,kern.charles@hotmail.com,868-684-5567,"7 Coffee St, San Fernando",03/02/2026 14:05
CST-003,Anika Ramsaran,anika.r@yahoo.com,868-771-9902,"23 Main Rd, Chaguanas",18/02/2026 09:30
CST-004,Dillon Phillip,dillonp@gmail.com,868-795-3341,"5 Lange Park, Chaguanas",01/03/2026 11:00
CST-005,Sabrina Aleong,sabrinaleong@gmail.com,868-730-4421,"88 Diego Martin Main Rd, Diego Martin",22/03/2026 16:45
CST-006,Marcus Bartholomew,marcusb@gmail.com,868-683-7712,"12 Curepe Junction, Curepe",30/03/2026 08:15
CST-007,Renee Hospedales,renee.h@hotmail.com,868-756-2298,"3 Bamboo #2 Village, Couva",05/04/2026 13:40
CST-008,Jason Ramdeen,jramdeen@gmail.com,868-799-4453,"45 Rushworth St, San Fernando",10/04/2026 09:55
CST-009,Candice Forde,candicef@yahoo.com,868-714-8871,"9 Pelican Extension, Chaguanas",18/04/2026 17:20
CST-010,Andre Pantin,andrepantin@gmail.com,868-768-3305,"21 Maraval Rd, Port of Spain",25/04/2026 12:00
CST-011,Nalini Seepersad,nalinis@gmail.com,868-724-6690,"67 Felicity Rd, Felicity",28/04/2026 10:30
CST-012,Omari Quamina,omariq@gmail.com,868-791-5543,"4 Dundonald St, Port of Spain",01/05/2026 14:10
CST-013,Cheryl Boodram,cherylb@hotmail.com,868-763-8812,"18 Endeavour Rd, Chaguanas",03/05/2026 09:00
CST-014,Fabian Celestine,fabianc@gmail.com,868-782-4490,"30 Reform Rd, Cunupia",06/05/2026 11:45
CST-015,Indira Balkissoon,indirab@yahoo.com,868-799-2231,"55 Naparima Mayaro Rd, Princes Town",08/05/2026 08:30
