OrderID,CustomerID,OrderDate,Status,DeliveryAddress,TotalAmount,PaymentStatus,PaymentRef
ORD-001,CST-001,01/05/2026 09:15,Delivered,"14 Circular Rd, Arima",87,Paid,WIP-00192341
ORD-002,CST-003,02/05/2026 11:30,Delivered,"23 Main Rd, Chaguanas",124.5,Paid,WIP-00192398
ORD-003,CST-007,07/05/2026 14:00,Pending,"3 Bamboo #2 Village, Couva",59,Pending,
ORD-004,CST-010,08/05/2026 08:45,Confirmed,"21 Maraval Rd, Port of Spain",213,Paid,WIP-00192541
ORD-005,CST-012,09/05/2026 07:30,Pending,"4 Dundonald St, Port of Spain",46.5,Pending,
ORD-006,CST-002,03/05/2026 10:00,Delivered,"7 Coffee St, San Fernando",98,Paid,WIP-00192410
ORD-007,CST-005,04/05/2026 13:15,Delivered,"88 Diego Martin Main Rd, Diego Martin",145,Paid,WIP-00192455
ORD-008,CST-006,05/05/2026 09:30,Packed,"12 Curepe Junction, Curepe",76.5,Paid,WIP-00192490
ORD-009,CST-008,06/05/2026 15:00,Confirmed,"45 Rushworth St, San Fernando",188,Paid,WIP-00192510
ORD-010,CST-011,07/05/2026 08:00,Pending,"67 Felicity Rd, Felicity",55,Pending,
ORD-011,CST-004,07/05/2026 10:45,Packed,"5 Lange Park, Chaguanas",102.5,Paid,WIP-00192525
ORD-012,CST-009,08/05/2026 12:00,Confirmed,"9 Pelican Extension, Chaguanas",67,Paid,WIP-00192538
ORD-013,CST-013,08/05/2026 16:30,Pending,"18 Endeavour Rd, Chaguanas",39.5,Pending,
ORD-014,CST-014,09/05/2026 06:45,Confirmed,"30 Reform Rd, Cunupia",174,Paid,WIP-00192560
ORD-015,CST-015,09/05/2026 07:00,Pending,"55 Naparima Mayaro Rd, Princes Town",91,Pending,
